run,seed,UAR,accuracy,HC_f1,MCI_f1,Dementia_f1,macro_f1,weighted_f1
run_0,42,0.7438,0.718,0.6425,0.703,0.8467,0.7307,0.7136
run_1,43,0.7377,0.7331,0.7155,0.6629,0.8689,0.7491,0.7358
run_2,44,0.7465,0.7331,0.6766,0.7143,0.8595,0.7501,0.7347
run_3,45,0.7414,0.7218,0.6566,0.7059,0.8462,0.7362,0.7203
run_4,46,0.7556,0.7293,0.6559,0.7177,0.8467,0.7401,0.7242
run_5,47,0.7414,0.7068,0.6011,0.7024,0.8472,0.7169,0.6965
run_6,48,0.7222,0.718,0.6872,0.6885,0.8197,0.7318,0.7205
run_7,49,0.7441,0.7368,0.6906,0.7166,0.8525,0.7532,0.7395
run_8,50,0.7354,0.6992,0.573,0.7177,0.8276,0.7061,0.6851
run_9,51,0.7229,0.7256,0.7315,0.6133,0.848,0.731,0.7204
mean,-,0.7391,0.7222,0.6631,0.6942,0.8463,0.7345,0.7191
std,-,0.0097,0.0115,0.0463,0.0314,0.0134,0.0141,0.0163
